BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
30,239,200,18446029871238135808,fffd766fc764c000,18446742323022776407,fffffe6862efc857,50,18446608723887482504,ffff84e669ef6688,239,18446032929046809676,fffd7937bafe4c4c,5994847,99914.117
31,182,200,18446202674421276672,fffe1399a7bda000,18446743481737184310,ffffff762bb28436,50,18446592796419695059,ffff766a02e021d3,182,18446204900897811943,fffe15a00c156de7,5995517,99925.283
32,226,200,18446138964550123520,fffdd9a80b808000,18446735637874518537,fffff853e10caa09,50,18446597874175310180,ffff7b0844b1f964,226,18446140364994949359,fffddaee1c84b0ef,5990547,99842.450
33,165,200,18446159275572584448,fffdec2112c7e000,18446741911515523684,fffffe0893316a64,50,18446563958396783380,ffff5c2fa2c38b14,165,18446159777902796062,fffdec9607fe9d1e,5990946,99849.100
34,233,200,18446023612458475520,fffd70be8b0e2000,18446743812092242956,ffffffc31664ac0c,50,18446598773034218457,ffff7bd98cdc73d9,233,18446029474113783268,fffd761350f005e4,5987304,99788.400
35,171,200,18446162871008215040,fffdef663371c000,18446735313602459328,fffff80860edb6c0,50,18446566480472357461,ffff5e7ada2eba55,171,18446163772542581501,fffdf0381b147afd,5987001,99783.350
36,243,200,18446033700760772608,fffd79eb68bae000,18446740354891525187,fffffc9e252c2c43,50,18446594541160586543,ffff78003d895d2f,243,18446034834997526269,fffd7af37e823efd,5984569,99742.817
37,190,200,18446145943513694208,fffde000f6258000,18446743718669957956,ffffffad55fdbb44,50,18446599337035926352,ffff7c5cddfb8b50,190,18446149000604223220,fffde2c8bef106f4,5992296,99871.600
38,182,200,18446165127015047168,fffdf17377ee2000,18446743373515351766,ffffff5cf92c66d6,50,18446577284822399143,ffff684e6fa0f8a7,182,18446167668270619000,fffdf3c32690d978,5986839,99780.650
39,215,200,18446076918160941056,fffda139be83e000,18446743373526169990,ffffff5cf9d17986,50,18446569004544684573,ffff60c6889df21d,215,18446076987709140478,fffda149efe92dfe,5983779,99729.650
40,226,200,18446043797050081280,fffd831a2277c000,18446741713126752992,fffffdda624d02e0,50,18446601205357731158,ffff7e0fdea3dd56,226,18446046828994417297,fffd85dc106ed291,5988967,99816.117
41,170,200,18446172600302272512,fffdf83f7a8f8000,18446740461015580574,fffffcb6daa8bf9e,50,18446549793672471713,ffff4f4da76724a1,170,18446173369196449352,fffdf8f280398e48,5984309,99738.483
42,228,200,18445966953561235456,fffd3d369d9ca000,18446741559958467169,fffffdb6b8c27261,50,18446586916222499395,ffff7110ebcf7a43,228,18445971314721436004,fffd412e07043164,5984224,99737.067
43,199,200,18446115443761340416,fffdc443af3de000,18446734250556280206,fffff710de704d8e,50,18446575773014822531,ffff66ee70e00e83,199,18446116036015625755,fffdc4cd9459161b,5991157,99852.617
44,235,200,18446070870930636800,fffd9bb9c3804000,18446743751490037881,ffffffb4fa386879,50,18446604522595024769,ffff81143963ff81,235,18446073176430501054,fffd9dd28e005cbe,5991622,99860.367
45,192,200,18446185869251444736,fffe0450e5900000,18446734901938476351,fffff7a887d7d53f,50,18446615218518775988,ffff8ace902058b4,192,18446188984918811804,fffe072651cf249c,5991369,99856.150
46,158,200,18446228652946448384,fffe2b3a40816000,18446741008889558680,fffffd366a7e3698,50,18446603642328350146,ffff804745687dc2,158,18446229826506582622,fffe2c4b7e23ea5e,5991537,99858.950
47,183,200,18446182348184748032,fffe011d15a20000,18446734320612015968,fffff7212e15ff60,50,18446600000706329273,ffff7cf763d23ab9,183,18446190970769022289,fffe08f4afb49d51,5987006,99783.433
48,186,200,18446167781696659456,fffdf3dd8f48e000,18446742666568931592,fffffeb85fe21908,50,18446595884627127453,ffff79390a61ec9d,186,18446168671944251338,fffdf4acd62d17ca,5990342,99839.033
49,174,200,18446151317379858432,fffde4e42987c000,18446737344155903242,fffff9e12758650a,50,18446534385674728775,ffff414a332bb547,174,18446151318777908312,fffde4e47cdc4c58,5985261,99754.350
50,258,200,18445905321570263040,fffd0528ccaee000,18446736744425476940,fffff95584a0534c,50,18446592898677401704,ffff7681d1e8e868,258,18445906702422029196,fffd066a4ddcb38c,5992348,99872.467
51,191,200,18446139373580951552,fffdda0747a3a000,18446743865647372720,ffffffcf8e8719b0,50,18446575783586622128,ffff66f0e700eab0,191,18446144568084414798,fffddec0b82c414e,5982403,99706.717
