BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
14,108,100,18442610265983381504,fff15052e2e97000,18446727527915838714,fffff0f3a1d7dcfa,50,18444948392650460606,fff99ed66c57cdbe,108,18442648736387988343,fff1734ff9b67b77,445075,89015.000
15,92,100,18443152711591370752,fff33dacd8afa000,18446704240558544408,ffffdbc59f2f1618,50,18444562475739207868,fff83fd923ef58bc,92,18443176250732482535,fff353157ad48fe7,493495,98699.000
16,111,100,18442380877768863744,fff07fb247deb000,18446732537866318590,fffff5821a2972fe,50,18444724366300126950,fff8d316394f9ee6,111,18442517693001142472,fff0fc210f3090c8,499559,99911.800
17,111,100,18442704658890702848,fff1a62c729f4000,18446717501960924002,ffffe7d5485cab62,50,18444955342321378166,fff9a52885026376,111,18442755898954455801,fff1d4c6b46b9af9,486510,97302.000
18,90,100,18443166610933202944,fff34a510a04c000,18446733010567117491,fffff5f029533ab3,50,18444997588836944955,fff9cb94cd900c3b,90,18443190241246024065,fff35fcee66b9181,457225,91445.000
19,95,100,18443251103964340224,fff397299b202000,18446728417203568644,fffff1c2af85c004,50,18444999482473083397,fff9cd4db3127205,95,18443303094836504275,fff3c672ac97a6d3,489500,97900.000
20,95,100,18443254891236614144,fff39a9b6624e000,18446716907227930575,ffffe74acf835fcf,50,18444898755949180975,fff971b17a65382f,95,18443307298241810232,fff3ca455b128f38,493524,98704.800
21,93,100,18443053438188810240,fff2e362f4ca7000,18446712188689605646,ffffe30030b6640e,50,18444660016514179336,fff8988f9f2da108,93,18443085548341896136,fff300972f0f23c8,469602,93920.400
22,109,100,18442575959318806528,fff1311f3e5b4000,18446734894715604510,fffff7a6d9538e1e,50,18444840170537425703,fff93c68ffbd1b27,109,18442590981908924682,fff13ec8f681090a,483767,96753.400
23,98,100,18442936267365298176,fff278d1ff7a3000,18446732947327432061,fffff5e16ff2357d,50,18444963756320671582,fff9accf8e72c75e,98,18442977857843562635,fff29ea58929088b,488829,97765.800
24,77,100,18443183438931791872,fff3599f1ce59000,18446725618724099978,ffffef371d25d78a,50,18444561092396905196,fff83e970e4ef2ec,77,18443290816886455517,fff3bb47fdbdbcdd,448933,89786.600
25,135,100,18442378111084257280,fff07d2e1c9de000,18446738525468016403,fffffaf43308bf13,50,18445198221745381651,fffa820e4acce113,135,18442387558308828666,fff085c5b714d5fa,484371,96874.200
26,90,100,18443652369781211136,fff5041c9599c000,18446741229506610573,fffffd69c84b458d,50,18445217703775366345,fffa93c64e46ecc9,90,18443660886135828538,fff50bdb73e4703a,499944,99988.800
27,95,100,18443691333841182720,fff5278c9c8de000,18446742476600122929,fffffe8c24dc1e31,50,18444959268523427260,fff9a8baa8e345bc,95,18443695305871174678,fff52b296bfdac16,499983,99996.600
28,117,100,18443174463337304064,fff3517551c69000,18446711599083130829,ffffe276e96d8fcd,50,18445120339477974511,fffa3b38e9eacdef,117,18443195476918352151,fff36491eccf3917,497248,99449.600
29,96,100,18443496605246398464,fff47671d3d5a000,18446714623987227306,ffffe53733c31aaa,50,18444944155126199922,fff99afbcc36f672,96,18443579244701251754,fff4c19ad32f78aa,497901,99580.200
30,101,100,18443144236542849024,fff335f7986df000,18446735509515442782,fffff835fe409a5e,50,18445213198990286935,fffa8fad7429a057,101,18443154827433601485,fff33f997ab5e9cd,497713,99542.600
31,78,100,18443682324271022080,fff51f5ae8534000,18446691343162478893,ffffd00ab679112d,50,18444906370555711292,fff9789e64500f3c,78,18443730791858276585,fff54b6fa5a588e9,497905,99581.000
32,97,100,18443068667401871360,fff2f13cc8a02000,18446703039343760001,ffffdaadf1341281,50,18444895060098138527,fff96e54f881c19f,97,18443083912397427243,fff2ff1a492b922b,498136,99627.200
33,105,100,18443046046486724608,fff2dca9f1038000,18446704656678856861,ffffdc2681e3289d,50,18445044038882187787,fff9f5d3cc025a0b,105,18443060920836827950,fff2ea31255e2b2e,499692,99938.400
34,76,100,18443344004054822912,fff3eba79804b000,18446720913574485181,ffffeaef9c605cbd,50,18444398803974971123,fff7aafd56915ef3,76,18443359517170637727,fff3f9c385c69b9f,499011,99802.200
35,117,100,18442053534240391168,ffef55faad22c000,18446682181026819567,ffffc7b57ca1adef,50,18444499304577776492,fff80664f54c3b6c,117,18442066487053150819,ffef61c27cf06a63,498929,99785.800
36,113,100,18442254535445999616,fff00cc9ea987000,18446710969591561420,ffffe1e458ce7ccc,50,18444845323651639597,fff94118cd47e92d,113,18442267247487561706,fff01859ab512fea,498528,99705.600
37,111,100,18442946573593726976,fff282319a8fd000,18446743221680001032,ffffff399f14d008,50,18444980687080223261,fff9bc358e5b721d,111,18442995447521962627,fff2aea4f3b16a83,495646,99129.200
38,80,100,18443217300450893824,fff3786b1cb6e000,18446729355823455235,fffff29d39a09c03,50,18444824732120603574,fff92e5e76635bb6,80,18443264555919979612,fff3a365a229b45c,480449,96089.800
39,100,100,18442905390531653632,fff25cbcecc6b000,18446731928958328330,fffff4f4546ade0a,50,18444805157155093468,fff91c90cf85bbdc,100,18442911786993320822,fff2628e379a0376,484851,96970.200
40,88,100,18442866240600633344,fff239219f0b7000,18446726156630522850,ffffefb45ade7be2,50,18444792519064984026,fff9111246a699da,88,18442916596913892524,fff266ee1d356cac,494265,98853.000
41,104,100,18442840964420415488,fff222248d4d3000,18446607253587385606,ffff839015385d06,50,18445163926027873038,fffa62dd32bdab0e,104,18442912678571337101,fff2635dcdcae58d,497237,99447.400
42,79,100,18443583778346192896,fff4c5ba657b5000,18446722578461742628,ffffec733f63d624,50,18444863397646944332,fff95188fb59c84c,79,18443606271725532279,fff4da2f8b5df477,440771,88154.200
43,110,100,18442982721584336896,fff2a311f6b39000,18446738708241752129,fffffb1ec132a041,50,18445031459026806305,fff9ea62d232a621,110,18443021424369037896,fff2c645286f7248,494370,98874.000
44,84,100,18443318844344061952,fff3d4c5a4655000,18446645101547609458,ffffa5fc3f71dd72,50,18444881489941341489,fff961fd6c21a531,84,18443359989487920006,fff3fa317e146386,490379,98075.800
45,107,100,18443018906173132800,fff2c3fad8435000,18446735294486943361,fffff803ed8e1681,50,18444961745518696786,fff9aafb614f9952,107,18443203008365453038,fff36b6b7a09deee,490429,98085.800
46,119,100,18443179417327841280,fff355f6c29f3000,18446742882243402135,fffffeea97155997,50,18445367393636350292,fffb1beab1447954,119,18443182716287917315,fff358f6dbf71d03,492931,98586.200
47,71,100,18443990713563148288,fff637d56288f000,18446687015097877046,ffffcc1b01b84236,50,18444836439210042077,fff939043b4ba2dd,71,18444046871769901604,fff66ae8bc7fea24,496486,99297.200
48,109,100,18442928804710531072,fff2720876974000,18446678135628246560,ffffc40798162e20,50,18445092441283493567,fffa21d95bf1febf,109,18442942292690047652,fff27e4ce0d192a4,488393,97678.600
49,80,100,18443440808857436160,fff443b2b7e40000,18446722150730848188,ffffec0fa8a457bc,50,18444708440295587454,fff8c49a2977be7e,80,18443495406062929037,fff4755a9eee048d,487961,97592.200
50,127,100,18442672806881624064,fff1893452ef8000,18446739517807975182,fffffbdb3f1adb0e,50,18445250720937032153,fffab1cdb67839d9,127,18442700023870981580,fff1a1f545eb05cc,492693,98538.600
51,61,100,18443757368164511744,fff5639b6cf07000,18446719360830044066,ffffe986159877a2,50,18444600174163652196,fff862227d21ee64,61,18443852234587696577,fff5b9e33c64edc1,497075,99415.000
52,112,100,18442456274617753600,fff0c444fa43e000,18446666823542176001,ffffb9bdcb36f901,50,18444991095084808531,fff9c5acdbc5f953,112,18442458633676879939,fff0c66a3d257843,492641,98528.200
53,83,100,18443238116460064768,fff38b59b78bf000,18446709425102841510,ffffe07cbe1ae6a6,50,18444624718111297795,fff878751269d103,83,18443304302826972619,fff3c78bee6f65cb,494319,98863.800
54,119,100,18442505362513043456,fff0f0ea24d3a000,18446739371271918414,fffffbb920e0134e,50,18444919633760920277,fff984ae78f2a2d5,119,18442550024214100156,fff11988c1a738bc,494928,98985.600
55,116,100,18443095193812287488,fff3095cf1e54000,18446730986256057419,fffff418d6fbc44b,50,18445222319279847774,fffa97f8efc8395e,116,18443096656326816670,fff30ab1768df39e,497124,99424.800
56,65,100,18443700564850143232,fff52ff1df907000,18446736443212123898,fffff90f62e94efa,50,18444578920258815203,fff84ecdedaf44e3,65,18443734534322055571,fff54ed701dee993,493148,98629.600
57,108,100,18442413766808080384,fff09d9bdb5e9000,18446661848970083306,ffffb5378f9cbbea,50,18444987766192966361,fff9c2a5ca5b8ad9,108,18442548082768744812,fff117c4ba7e116c,492016,98403.200
58,82,100,18443231458676379648,fff3854b94b71000,18446731548428129506,fffff49bbb0cd4e2,50,18444433595647406991,fff7caa1e7d8338f,82,18443243927583710348,fff390a2b981dc8c,492867,98573.400
59,126,100,18442123117585260544,ffef9543cfb06000,18446723741896549219,ffffed8221822363,50,18444993141407396347,fff9c7894e1ab1fb,126,18442124480376821150,ffef96811c65559e,495550,99110.000
