BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
16,169,200,18446056255555444736,fffd8e6edb412000,18446739875055744510,fffffc2e6cbb35fe,50,18446569176190025321,ffff60ee7f79fe69,169,18446058467391084772,fffd9071d6ee98e4,5174997,1034999.400
17,237,200,18446044483631448064,fffd83b9fde80000,18446743898997463394,ffffffd752591962,50,18446592920928450064,ffff7687002cf610,237,18446045514470481639,fffd84aa00b35ee7,5168615,1033723.000
18,173,200,18446139462585147392,fffdda1c00b3e000,18446742982505666074,ffffff01ef2e161a,50,18446555197543403336,ffff5437d735cf48,173,18446139532616869597,fffdda2c4eeb26dd,5371796,1074359.200
19,243,200,18445988569044959232,fffd50df5cd74000,18446739693421241903,fffffc042278a62f,50,18446583336443366753,ffff6dcf7058cd61,243,18445990973138715480,fffd530f1bfec358,5363666,1072733.200
20,138,200,18446101124644814848,fffdb73dc1634000,18446743588198831539,ffffff8ef54e55b3,50,18446534959651208759,ffff41cfd6d5be37,138,18446102779566303938,fffdb8bf12652ac2,5154343,1030868.600
21,235,200,18445907617476182016,fffd073f5b570000,18446734409630807677,fffff735e804f67d,50,18446564527270740766,ffff5cb4164b431e,235,18445910088889231234,fffd097ec7096782,5143836,1028767.200
22,184,200,18446025887954305024,fffd72d0592d0000,18446743915969138875,ffffffdb45f050bb,50,18446580067954994831,ffff6ad66f422e8f,184,18446042721889761440,fffd821fcdeb38a0,5322289,1064457.800
23,203,200,18446088050691325952,fffdab59bd08c000,18446739641582982071,fffffbf810ab93b7,50,18446534139139587535,ffff4110cc87fdcf,203,18446094404504849651,fffdb12119d50cf3,5158768,1031753.600
24,213,200,18445904335429697536,fffd044332200000,18446742519431701163,fffffe961dd222ab,50,18446562092285501807,ffff5a7d25dd216f,213,18445909213266679286,fffd08b2e7dd95f6,5218679,1043735.800
25,188,200,18446016148013350912,fffd69f497748000,18446741992291597709,fffffe1b61d27d8d,50,18446574345443609550,ffff65a20f000bce,188,18446025909509009305,fffd72d55defaf99,5341850,1068370.000
26,202,200,18446065160645779456,fffd96883c002000,18446741670511027155,fffffdd07634a3d3,50,18446587099867236124,ffff713bade3c71c,202,18446065933090139668,fffd973c1545ae14,5394433,1078886.600
27,201,200,18446116178340290560,fffdc4eeb78f2000,18446739772751106341,fffffc169ae65125,50,18446587288356537988,ffff716790ba4684,201,18446116384687941916,fffdc51ec2d6691c,5405973,1081194.600
28,199,200,18446116932297498624,fffdc59e42e92000,18446739045697242752,fffffb6d531cc680,50,18446591797275140500,ffff758161382194,199,18446120515594934807,fffdc8e09014da17,5237383,1047476.600
29,167,200,18446134967971905536,fffdd60584e08000,18446742930027968914,fffffef5b743f992,50,18446583388238149191,ffff6ddb7f8e7647,167,18446138491767112392,fffdd939f77042c8,5164050,1032810.000
30,175,200,18446101331823943680,fffdb76dfe39e000,18446742419892167004,fffffe7ef0cd615c,50,18446570500837484721,ffff6222ea9e28b1,175,18446107306923612045,fffdbcdd2deb578d,5156637,1031327.400
31,200,200,18446049782221283328,fffd888baa78a000,18446738361773373931,ffffface1612b9eb,50,18446525407691344040,ffff391fd9a908a8,200,18446051925439936606,fffd8a7eac41f85e,5250622,1050124.400
32,246,200,18445869409636720640,fffce47f66a42000,18446731789499824797,fffff4d3dc0afa9d,50,18446553438564729487,ffff529e4be9428f,246,18445869926772317073,fffce4f7ce531b91,5206818,1041363.600
33,197,200,18445981533130260480,fffd4a792fa50000,18446727266547003014,fffff0b6c70bee86,50,18446543324935008920,ffff496b889ab298,197,18445983270413390645,fffd4c0dadc9d335,5174497,1034899.400
34,232,200,18445941078611378176,fffd25ae226ac000,18446740618870698450,fffffcdb9b8eb1d2,50,18446552795124358613,ffff52087be05dd5,232,18445941552220221810,fffd261c67b43172,4925003,985000.600
35,221,200,18445978959368781824,fffd4821ef818000,18446742927106566230,fffffef50922e856,50,18446596009166691786,ffff79560984ddca,221,18445979514208752809,fffd48a31e8b94a9,4977414,995482.800
36,166,200,18446151815538114560,fffde55826138000,18446739179844892417,fffffb8c8eef7701,50,18446573274304907410,ffff64a8aa288892,166,18446152288482423499,fffde5c643c0f2cb,5240011,1048002.200
37,193,200,18446060876090974208,fffd92a2a8a22000,18446739071724910755,fffffb73627b78a3,50,18446562581645634885,ffff5aef16002d45,193,18446061052709403918,fffd92cbc7e97d0e,5356927,1071385.400
38,210,200,18446018105453887488,fffd6bbc5800c000,18446736251047985258,fffff8e2a509406a,50,18446571460060562191,ffff630240c4c30f,210,18446031925596452122,fffd784e18b0f51a,5401952,1080390.400
39,181,200,18446053619113590784,fffd8c0903130000,18446743921404687166,ffffffdc89ec333e,50,18446569994040680178,ffff61aceb2c9ef2,181,18446065419147866510,fffd96c46becf18e,5378038,1075607.600
40,220,200,18446047755034066944,fffd86b3acb28000,18446743104859774644,ffffff1e6c0d9eb4,50,18446598100380032438,ffff7b3cef8c1db6,220,18446048478644746399,fffd875c2741389f,5069353,1013870.600
41,148,200,18446160180391477248,fffdecf3be308000,18446729299403361393,fffff29016ba4c71,50,18446581289862533136,ffff6bf2ee9f9010,148,18446163499052481157,fffdeff86dccba85,5150937,1030187.400
42,169,200,18446092938321477632,fffdafcbba7e4000,18446739869673905570,fffffc2d2bf2dda2,50,18446604900232254080,ffff816c2652d280,169,18446093820808413387,fffdb09932d040cb,4904551,980910.200
43,160,200,18446187379800358912,fffe05b0994b4000,18446741620207622368,fffffdc4bfe398e0,50,18446518731746439433,ffff330d7c55f109,160,18446187566760380542,fffe05dc20fac87e,4951575,990315.000
44,254,200,18445842705857101824,fffccc35f157c000,18446741444875749355,fffffd9bed4b87eb,50,18446542639520121142,ffff48cbf2b18136,254,18445851296548323675,fffcd4061e71015b,5028688,1005737.600
45,221,200,18445938336951828480,fffd232fcac60000,18446740955192319666,fffffd29e9e35eb2,50,18446558157373048149,ffff56e8face0555,221,18445941870521680479,fffd266683f3025f,5061111,1012222.200
46,203,200,18446000408363540480,fffd5ba3eb382000,18446743588682059905,ffffff8f121bd081,50,18446596948754361773,ffff7a30cd4eedad,203,18446004444135109188,fffd5f4f91f33244,5220628,1044125.600
47,158,200,18446155573888794624,fffde8c3353bc000,18446739581429651343,fffffbea0f40978f,50,18446598118702969097,ffff7b4133adf109,158,18446164409836665786,fffdf0cc7cc47bba,5414033,1082806.600
48,183,200,18446160253683220480,fffded04ceb7c000,18446733945301161950,fffff6c9cbd0d7de,50,18446542559742199186,ffff48b95f8f0592,183,18446160283547258215,fffded0bc2c0cd67,5264251,1052850.200
49,204,200,18445938017840144384,fffd22e57e3c2000,18446741211996357572,fffffd65b49a03c4,50,18446541624176533372,ffff47df8b7fdf7c,204,18445942785173520384,fffd273b79728000,4810008,962001.600
50,214,200,18445934275577479168,fffd1f7e2dff8000,18446735110645584130,fffff7d91fc19102,50,18446585078918473252,ffff6f6523f4e624,214,18445936878044096652,fffd21dc1d18a88c,4615129,923025.800
51,158,200,18446108094545240064,fffdbd948fd3a000,18446738439411507161,fffffae029aa9fd9,50,18446504428384941509,ffff260b398df5c5,158,18446111941175150659,fffdc1142cd60843,5029339,1005867.800
52,281,200,18445785492411113472,fffc982ce637e000,18446741589826924942,fffffdbdad0ef18e,50,18446562947634264978,ffff5b444c9f7b92,281,18445785493564395632,fffc982d2af59070,5105662,1021132.400
53,189,200,18446019569408401408,fffd6d11327de000,18446736368318860381,fffff8fdf2eccc5d,50,18446531917490924888,ffff3f0b87f3ad58,189,18446024983001929947,fffd71fda5cf98db,5184069,1036813.800
54,232,200,18445895448835047424,fffcfc2e1fcec000,18446743271092599808,ffffff45204d3c00,50,18446613604707832447,ffff8956d17f927f,232,18445897201399658036,fffcfdc62ccc7634,5319619,1063923.800
55,172,200,18446222197702672384,fffe255b45fe4000,18446737002217057962,fffff9918a33aeaa,50,18446585285468045431,ffff6f953b454077,172,18446225179031237745,fffe28116b05f471,5364784,1072956.800
56,174,200,18446108920743526400,fffdbe54ed150000,18446743019594841386,ffffff0a91ddfd2a,50,18446592491644114905,ffff76230cd5d7d9,174,18446114352619934592,fffdc345a2255380,5345638,1069127.600
57,158,200,18446137745447804928,fffdd88c33576000,18446738988936541449,fffffb601be93509,50,18446549619525820130,ffff4f251b741ee2,158,18446147480795950956,fffde166e34f2f6c,5218151,1043630.200
58,224,200,18445966256974626816,fffd3c946dd08000,18446743017381375009,ffffff0a0def2c21,50,18446580780362150935,ffff6b7c4e08b417,224,18445967283056463603,fffd3d83550ecef3,5207083,1041416.600
59,191,200,18446090900319952896,fffdadf13822e000,18446741462729891885,fffffda0157c202d,50,18446562907573454751,ffff5b3af8d0079f,191,18446093228589666035,fffdb00f4fd34ef3,5000024,1000004.800
60,205,200,18446019409165164544,fffd6cebe3402000,18446734665387841474,fffff771745397c2,50,18446570292227228497,ffff61f2587a4351,205,18446019956677448987,fffd6d6b5d86951b,5119570,1023914.000
61,216,200,18446048947780255744,fffd87c961e90000,18446743121257658420,ffffff223d717834,50,18446593376902452007,ffff76f12a581327,216,18446054487329149852,fffd8cd328c1139c,5286954,1057390.800
62,155,200,18446141286481149952,fffddbc4a9604000,18446720705626288678,ffffeabf31b2b226,50,18446507421131671748,ffff28c4072908c4,155,18446143245569584500,fffddd8ccc256d74,5160616,1032123.200
